Nom,Prenom,IdHAL de l'Auteur,IdHAL des auteurs de la publication,Titre,Docid,Année de Publication,Type de Document,Domaine,Mots-clés,Laboratoire de Recherche
Acary,Vincent,vincent-acary,['vincent-acary'],['Advanced Topics in Nonsmooth Dynamics'],3486330,2018,Ouvrage,"Mathématiques, Domaine non défini","['Nonsmooth dynamics', 'Set-valued force laws', 'Time-stepping schemes', 'European Network for Nonsmooth Dynamics', 'Numerical methods for nonsmooth systems', 'Impact laws for multi-collisions', 'Nonlinear vibrations']",['Inria Grenoble - Rhône-Alpes']
Acary,Vincent,vincent-acary,"['vincent-acary', 'bernard-brogliato']",['Nonsmooth Modeling and Simulation for Switched Circuits'],522358,2010,Ouvrage,"Mathématiques, Domaine non défini, Sciences de l'ingénieur, Nanotechnologies, Informatique, Modélisation et simulation","['Delta-Sigma Converter', 'Diode-Bridge Rectifier', 'Switched Circuits', 'Hybrid Modeling', 'High Level Simulation and Design', 'Bulk Converter', 'Analog Simulation']","['Inria Grenoble - Rhône-Alpes', 'Laboratoire Jean Kuntzmann']"
Albert,Pascal,hal-02445423,['pascal-weil'],"['Special issue : Theoretical Aspects of Computer Science, Theory of Computing Systems, vol 47(3)']",493333,2010,Ouvrage,"Informatique, Domaine non défini, Informatique, Domaine non défini, Mathématiques, Domaine non défini, Informatique, Domaine non défini, Informatique, Domaine non défini, Informatique, Domaine non défini, Informatique, Domaine non défini",[],"['Institut für Informatik [Freiburg]', 'Laboratoire Bordelais de Recherche en Informatique']"
Ali,Ali,ali-mostfa,"['ali-mansour', 'christophe-osswald']",['Mise en œuvre des probabilités et des statistiques'],2303379,2019,Ouvrage,"Mathématiques, Mathématiques pures, Mathématiques, Statistiques",['Probabilités'],"[""Laboratoire des sciences et techniques de l'information, de la communication et de la connaissance"", ""Laboratoire des sciences et techniques de l'information, de la communication et de la connaissance (UMR 3192)"", 'Département STIC [Brest]', ""Laboratoire des sciences et techniques de l'information, de la communication et de la connaissance""]"
Ali,Ali,ali-mostfa,['mourad-baiou'],"['Combinatorial Optimization - 6th International Symposium, ISCO 2020, Montreal, QC, Canada, May 4-6, 2020, Revised Selected Papers Lecture Notes in Computer Science 12176, Springer']",3046535,2020,Ouvrage,"Mathématiques, Domaine non défini, Informatique, Domaine non défini, Informatique, Domaine non défini, Informatique, Domaine non défini, Informatique, Domaine non défini",[],Non disponible
Ali,Ali,ali-mostfa,['Id non disponible'],['The convergence problem for dissipative autonomous systems.'],1448303,2015,Ouvrage,"Mathématiques, Mathématiques appliquées, Mathématiques, Domaine non défini, Mathématiques, Domaine non défini, Mathématiques, Domaine non défini",[],['Laboratoire Jacques-Louis Lions']
Ali,Ali,ali-mostfa,['Id non disponible'],['Functional Data Analysis: Theory and Applications to Different Scenarios'],4838060,2023,Ouvrage,"Mathématiques, Statistiques",[],Non disponible
Ali,Ali,ali-mostfa,['samir-perlaza'],['Advanced Data Analytics for Power Systems'],3128425,2021,Ouvrage,"Sciences de l'ingénieur, Domaine non défini, Informatique, Informatique, Intelligence artificielle, Informatique, Domaine non défini, Informatique, Domaine non défini, Informatique, Domaine non défini, Mathématiques, Domaine non défini, Sciences de l'ingénieur",[],"['Inria Sophia Antipolis - Méditerranée', 'Department of Electrical Engineering [Princeton]']"
Ali,Ali,ali-mostfa,['Id non disponible'],['Representation Theory of Solvable Lie Groups and Related Topics'],3314530,2021,Ouvrage,Mathématiques,[],"['Institut Élie Cartan de Lorraine', 'Laboratoire de Mathématiques et leurs Applications de Valenciennes - EA 4015', 'Nara Institute of Science and Technology - Graduate School of Information Science']"
Ali,Ali,ali-mostfa,['hatem-zaag'],['Partial Differential Equations Arising from Physics and Geometry'],2324982,2019,Ouvrage,"Mathématiques, Mathématiques appliquées, Sciences du vivant, Domaine non défini",[],"['Département de mathématiques', 'Laboratoire Analyse, Géométrie et Applications']"
Ali,Ali,ali-mostfa,"['pierre-bessiere', 'alimohammad-djafari', 'jfbercher']",['Bayesian Inference and maximum Entropy Methods in Science and Engineering'],599193,2010,Ouvrage,"Domaine non défini, Domaine non défini, Mathématiques, Mathématiques pures",[],"['Laboratoire des signaux et systèmes', ""Laboratoire d'Informatique Gaspard-Monge"", ""Laboratoire de Physiologie de la Perception et de l'Action""]"
Amodeo,Lionel,hal-02556388,['talbi-el-ghazali'],['Heuristics for Optimization and Learning'],3261026,2021,Ouvrage,"Mathématiques, Optimisation et contrôle",[],"['Laboratoire Informatique et Société Numérique', 'Inria Lille - Nord Europe', 'Centre de Recherche en Informatique, Signal et Automatique de Lille - UMR 9189', 'Centre de Recherche en Informatique, Signal et Automatique de Lille - UMR 9189']"
Bernard,Pauline,pauline-bernard,"['anna-aksamit', 'nizar-demni', 'jeanblanc', 'alain-rouault']",['In Memoriam Marc Yor - Séminaire de Probabilités XLVII'],1200589,2015,Ouvrage,"Mathématiques, Mathématiques pures",[],"['Laboratoire de Mathématiques de Versailles', 'Institut de Recherche Mathématique Avancée']"
Brogliato,Bernard,bernard-brogliato,['bernard-brogliato'],['Nonsmooth Mechanics'],1236953,2016,Ouvrage,"Sciences de l'ingénieur, Domaine non défini, Domaine non défini, Sciences de l'ingénieur, Automatique, Mathématiques, Optimisation et contrôle","['Restitution coefficients', 'Darboux-Keller shock dynamics', 'Linear complementarity systems', ""Moreau's sweeping process"", 'Measure differential inclusions', 'Hybrid dynamical systems', 'Trajectory tracking', 'Lyapunov stability', 'Variational principles', 'Impact mechanics', 'Complementarity conditions', 'Complementarity systems', 'Unilateral constraints', 'Multiple impacts']","['Inria Grenoble - Rhône-Alpes', 'Laboratoire Jean Kuntzmann']"
Brogliato,Bernard,bernard-brogliato,['bernard-brogliato'],['Multiple Impacts in Dissipative Granular Chains'],908612,2014,Ouvrage,"Mathématiques, Optimisation et contrôle",[],"['Inria Grenoble - Rhône-Alpes', 'Laboratoire Jean Kuntzmann']"
Brogliato,Bernard,bernard-brogliato,"['vincent-acary', 'bernard-brogliato']",['Nonsmooth Modeling and Simulation for Switched Circuits'],522358,2010,Ouvrage,"Mathématiques, Domaine non défini, Sciences de l'ingénieur, Nanotechnologies, Informatique, Modélisation et simulation","['Delta-Sigma Converter', 'Diode-Bridge Rectifier', 'Switched Circuits', 'Hybrid Modeling', 'High Level Simulation and Design', 'Bulk Converter', 'Analog Simulation']","['Inria Grenoble - Rhône-Alpes', 'Laboratoire Jean Kuntzmann']"
Chadli,Mohammed,mohammed-chadli,"['mohammed-chadli', 'rene-lozi']","['Computer Intelligence in Modeling, Prediction, and Analysis of Complex Dynamical Systems']",1338674,2015,Ouvrage,"Mathématiques, Domaine non défini, Domaine non défini, Domaine non défini","['Chaos', 'Complexity', 'Artificial intelligence', 'Unconventional algorithm', 'Soft computing']","['VSB-Technical University of Ostrava, Ostrava, Czech Republic', 'Center of Excellence for Quantifiable Quality of Service', 'Modélisation, Information et Systèmes - UR UPJV 4290', 'Laboratoire Jean Alexandre Dieudonné']"
Clerc,Maurice,hal-01155162,['Id non disponible'],"[""Le coloriage de graphe, un jeu d'enfant ?""]",3965580,2023,Ouvrage,Mathématiques,"['Graph coloring', 'Deterministic', 'Quantum', 'Coloriage de graphe', 'Déterministe', 'Quantique']",Non disponible
David,Pierre,hal-02141963,"['claire-david', 'pierre-gosselet']",['Equations au dérivées partielles'],1435514,2015,Ouvrage,"Mathématiques, Mathématiques appliquées",[],"['Laboratoire Jacques-Louis Lions', 'Laboratoire de Mécanique et Technologie']"
David,Pierre,hal-02141963,"['pierre-hyvernat', 'knour']",['Les démonstrations mathématiques'],4733135,2017,Ouvrage,Mathématiques,[],['Laboratoire de Mathématiques']
David,Pierre,hal-02141963,"['olivier-gueant', 'jeanblanc']",['Lecture Notes in Mathematics'],667383,2011,Ouvrage,"Mathématiques, Domaine non défini",[],"['Laboratoire Jacques-Louis Lions', 'Département de Mathématiques (Evry)', 'CEntre de REcherches en MAthématiques de la DEcision', 'Collège de France - Chaire Équations aux dérivées partielles et applications']"
David,Pierre,hal-02141963,"['anna-aksamit', 'nizar-demni', 'jeanblanc', 'alain-rouault']",['In Memoriam Marc Yor - Séminaire de Probabilités XLVII'],1200589,2015,Ouvrage,"Mathématiques, Mathématiques pures",[],"['Laboratoire de Mathématiques de Versailles', 'Institut de Recherche Mathématique Avancée']"
Etienne,Alain,hal-04740846,"['alain-bretto', 'francois-hennecart']",['Elements of Graph Theory: From Basic Concepts to Modern Developments'],4638463,2022,Ouvrage,"Mathématiques, Informatique",['Graph Theory - Graph Algorithms'],"['Institut Camille Jordan', 'Institut Camille Jordan']"
Etienne,Alain,hal-04740846,"['alain-bretto', 'francois-hennecart']",['Eléments de théorie des graphes (édition revue et augmentée)'],2065825,2018,Ouvrage,"Mathématiques, Informatique",[],"['Groupe de Recherche en Informatique, Image et Instrumentation de Caen', 'Institut Camille Jordan']"
Etienne,Alain,hal-04740846,"['alain-bretto', 'francois-hennecart']",['Eléments de théorie des graphes'],947335,2012,Ouvrage,"Mathématiques, Domaine non défini, Mathématiques, Domaine non défini",[],"['Institut Camille Jordan', 'Groupe de Recherche en Informatique, Image et Instrumentation de Caen']"
Etienne,Alain,hal-04740846,"['pierre-petit-67', 'florence-merlevede', 'laurent-miclo', 'emmanuel-rio', 'alain-rouault']",['Séminaire de Probabilités LI'],3676900,2022,Ouvrage,"Mathématiques, Mathématiques pures",[],"['Institut Fourier', 'School of Operations Research and Information Engineering', 'Laboratoire Jacques-Louis Lions', 'Instituto de Matematicas', 'Laboratoire de Mathématiques de Versailles', 'Mathématiques Appliquées Paris 5', 'Laboratoire Analyse et de Mathématiques Appliquées', 'Institut de Mathématiques de Toulouse UMR5219', 'Faculty of Mathematics [Vienna]', 'Modélisation aléatoire de Paris X', 'Laboratoire de Mathématiques Raphaël Salem', 'Institut Camille Jordan', 'Institut Camille Jordan', 'Mathématiques Appliquées Paris 5']"
Fourati,Hassen,hassen-fourati,['hassen-fourati'],"['Cooperative Localization and Navigation: Theory, Research, and Practice']",2295010,2019,Ouvrage,"Sciences de l'ingénieur, Automatique, Sciences de l'ingénieur, Traitement du signal, Mathématiques",[],"['Inria Grenoble - Rhône-Alpes', 'Grenoble Images Parole Signal Automatique']"
Frasca,Paolo,paolo-frasca,['paolo-frasca'],['Introduction to Averaging Dynamics over Networks'],1614915,2017,Ouvrage,"Sciences de l'ingénieur, Automatique, Mathématiques, Optimisation et contrôle",[],"['Dipartimento di Scienze Matematiche', 'Inria Grenoble - Rhône-Alpes', 'Grenoble Images Parole Signal Automatique']"
Frasca,Paolo,paolo-frasca,"['paolo-frasca', 'elena-panteley', 'romain-postoyan', 'luca-zaccarian']",['Hybrid and networked dynamical systems'],4628500,2024,Ouvrage,"Sciences de l'ingénieur, Automatique, Mathématiques, Domaine non défini","['Multi-agent systems', 'Data-driven control', 'Observer design', 'Neural networks', 'Hybrid dynamical systems', 'Distributed control', 'Reset control', 'Event-triggered control', 'Networked systems', 'Stability analysis', 'Switched systems']","['Centre de Recherche en Automatique de Nancy', 'Inria Grenoble - Rhône-Alpes', 'Grenoble Images Parole Signal Automatique', 'Laboratoire des signaux et systèmes', ""Laboratoire d'analyse et d'architecture des systèmes""]"
Francois,Bruno,halshs-01092179,['bruno-francois'],['Microgrid Dynamics and Control'],3706211,2017,Ouvrage,"Sciences de l'ingénieur, Domaine non défini, Mathématiques, Sciences de l'ingénieur, Électronique, Sciences de l'ingénieur, Automatique",[],"['Laboratoire d’Électrotechnique et d’Électronique de Puissance  - ULR 2697', 'Laboratoire d’Électrotechnique et d’Électronique de Puissance  - ULR 2697']"
Francois,Bruno,halshs-01092179,['bruno-francois'],['Vector Control of Induction Machines: Desensitisation and Optimisation Through Fuzzy Logic'],3723299,2012,Ouvrage,"Sciences de l'ingénieur, Domaine non défini, Mathématiques, Sciences de l'ingénieur, Électronique, Sciences de l'ingénieur, Automatique",[],"['Laboratoire d’Électrotechnique et d’Électronique de Puissance  - ULR 2697', 'Laboratoire d’Électrotechnique et d’Électronique de Puissance  - ULR 2697']"
Francois,Bruno,halshs-01092179,"['gregoire-allaire', 'blanc', 'bruno-despres']",['Transport et diffusion'],4431089,2018,Ouvrage,Mathématiques,[],"[""Centre de Mathématiques Appliquées de l'Ecole polytechnique"", 'Laboratoire Jacques-Louis Lions', 'Centre de Mathématiques Laurent Schwartz']"
Francois,Bruno,halshs-01092179,['Id non disponible'],['Fundamentals and Advanced Techniques in Derivatives Hedging'],1386489,2016,Ouvrage,Mathématiques,"['Mathematical Finance', 'Risk control', 'Probability']",['CEntre de REcherches en MAthématiques de la DEcision']
Francois,Bruno,halshs-01092179,['bruno-francois'],['Electrical Energy Storage for Buildings in Smart Grids'],3706443,2019,Ouvrage,"Sciences de l'ingénieur, Domaine non défini, Mathématiques, Sciences de l'ingénieur, Électronique, Sciences de l'ingénieur, Automatique",[],"['Laboratoire d’Électrotechnique et d’Électronique de Puissance  - ULR 2697', 'Laboratoire d’Électrotechnique et d’Électronique de Puissance  - ULR 2697']"
Francois,Bruno,halshs-01092179,['Id non disponible'],['Fundamentals and Advanced Techniques in Derivatives Hedging'],1348864,2016,Ouvrage,"Mathématiques, Mathématiques pures, Domaine non défini",[],['CEntre de REcherches en MAthématiques de la DEcision']
Francois,Bruno,halshs-01092179,['Id non disponible'],['Valorisation des produits dérivés: des théorèmes fondamentaux à la couverture sous contrainte de risque'],950291,2014,Ouvrage,"Mathématiques, Mathématiques pures","['Finance', 'Mathématiques appliquées']","['CEntre de REcherches en MAthématiques de la DEcision', 'Centre de Recherche en Économie et Statistique', 'Department of Mathematics [Imperial College London]']"
Francois,Bruno,halshs-01092179,"['jean-philippe-anker', 'aline-bonami', 'sandrine-grellier', 'philippe-jaming', 'emmanuel-lesigne', 'barbara-schapira']",['Théorèmes ergodiques des actions de groupes'],464094,2010,Ouvrage,"Mathématiques, Domaine non défini, Mathématiques, Domaine non défini","['Théorèmes ergodiques', 'Inégalités maximales']","['Mathématiques - Analyse, Probabilités, Modélisation - Orléans', 'Laboratoire de Mathématiques et Physique Théorique', 'Laboratoire Paul Painlevé - UMR 8524', 'Laboratoire Amiénois de Mathématique Fondamentale et Appliquée']"
Francois,Bruno,halshs-01092179,"['nicolas-bergeron', 'sorin-dumitrescu', 'charles-frances', 'frank-loray', 'patrick-popescu-pampu', 'pierrepy']",['Uniformization of Riemann Surfaces'],2344692,2016,Ouvrage,"Mathématiques, Domaine non défini","['Uniformization', 'Riemann surfaces', 'Fuchsian groups', 'Continuity method', 'Gauss', 'Riemann', 'Schwarz', 'Poincaré', 'Klein', 'Koebe']","['Laboratoire Jean Alexandre Dieudonné', 'Institut de Recherche Mathématique Avancée', 'Institut de Recherche Mathématique de Rennes']"
Girard,Antoine,antoine-girard,"['antoine-girard', 'laurentiu-hetel', 'sophie-tarbouriech']",['Control Subject to Computational and Communication Constraints'],1818954,2018,Ouvrage,"Mathématiques, Optimisation et contrôle, Sciences de l'ingénieur, Automatique, Informatique, Domaine non défini","['Sampled-data Systems', 'Event-triggered Architecture', 'Event-based Control', 'Switched Systems', 'Limited Information', 'Computational Constraints', 'Hybrid Dynamical Systems']","[""Laboratoire d'analyse et d'architecture des systèmes"", 'Laboratoire des signaux et systèmes', 'Centre de Recherche en Informatique, Signal et Automatique de Lille - UMR 9189']"
Hammadi,Slim,slim-hammadi,['slim-hammadi'],['Ingénierie logistique et santé'],1716944,2017,Ouvrage,"Mathématiques, Informatique, Informatique, Modélisation et simulation",[],"['Centre de Recherche en Informatique, Signal et Automatique de Lille - UMR 9189']"
Harmand,Jérôme,jerome-harmand,"['jerome-harmand', 'alain-rapaport', 'tewfiksari']",['Optimisation des bioprocédés: pratique du principe du maximum de Pontryagin'],2105919,2019,Ouvrage,"Sciences du vivant, Domaine non défini, Sciences de l'ingénieur, Génie des procédés, Mathématiques, Optimisation et contrôle","['Optimisation', 'Bioprocédés', 'Principe du Maximum de Pontryagin', 'Commande optimale']","[""Laboratoire de Biotechnologie de l'Environnement [Narbonne]"", ""Mathématiques, Informatique et STatistique pour l'Environnement et l'Agronomie"", 'Information – Technologies – Analyse Environnementale – Procédés Agricoles']"
Harmand,Jérôme,jerome-harmand,"['jerome-harmand', 'alain-rapaport', 'tewfiksari']",['The Chemostat: Mathematical Theory of Microorganism Cultures'],1539446,2017,Ouvrage,"Informatique, Modélisation et simulation, Mathématiques, Domaine non défini, Sciences du vivant, Domaine non défini, Sciences du vivant, Bioinformatique","['Chemostat', 'Mathematical modeling', 'Differential equations']","[""Laboratoire de Biotechnologie de l'Environnement [Narbonne]"", ""Mathématiques, Informatique et STatistique pour l'Environnement et l'Agronomie"", 'Information – Technologies – Analyse Environnementale – Procédés Agricoles']"
Harmand,Jérôme,jerome-harmand,"['jerome-harmand', 'alain-rapaport', 'tewfiksari']","[""Optimal Control in Bioprocesses: Pontryagin's Maximum Principle in Practice""]",2045808,2019,Ouvrage,"Mathématiques, Optimisation et contrôle, Sciences du vivant, Domaine non défini","['Optimal control', 'Maximum Principle', 'Bioprocesses']","[""Laboratoire de Biotechnologie de l'Environnement [Narbonne]"", ""Mathématiques, Informatique et STatistique pour l'Environnement et l'Agronomie"", 'Information – Technologies – Analyse Environnementale – Procédés Agricoles']"
Harmand,Jérôme,jerome-harmand,"['jerome-harmand', 'alain-rapaport', 'tewfiksari']",['El quimiostato - Teoría matemática del cultivo continuo de microorganismos'],3381583,2021,Ouvrage,"Informatique, Modélisation et simulation, Mathématiques, Domaine non défini, Sciences du vivant, Domaine non défini, Sciences du vivant, Médecine et santé mentale","['Biorreactores', 'El crecimiento de una sola especie', 'Exclusión competitiva', 'Competencia el modelo dependiente de la densidad', 'Modelos más complejos']","[""Laboratoire de Biotechnologie de l'Environnement [Narbonne]"", ""Mathématiques, Informatique et STatistique pour l'Environnement et l'Agronomie"", 'Information – Technologies – Analyse Environnementale – Procédés Agricoles']"
Harmand,Jérôme,jerome-harmand,"['jerome-harmand', 'alain-rapaport', 'tewfiksari']",['Le Chemostat. Théorie mathématique de la culture continue de micro-organismes'],2607051,2017,Ouvrage,"Informatique, Modélisation et simulation, Mathématiques, Domaine non défini, Informatique, Domaine non défini, Sciences de l'environnement, Biodiversité et écologie, Sciences du vivant, Médecine et santé mentale",[],"[""Laboratoire de Biotechnologie de l'Environnement [Narbonne]"", 'Inria Sophia Antipolis - Méditerranée', ""Mathématiques, Informatique et STatistique pour l'Environnement et l'Agronomie"", ""Mathématiques, Informatique et STatistique pour l'Environnement et l'Agronomie"", 'Information – Technologies – Analyse Environnementale – Procédés Agricoles']"
Henrion,Didier,didier-henrion,"['didier-henrion', 'milan-korda', 'jean-lasserre']",['The Moment-SOS Hierarchy'],3009026,2020,Ouvrage,"Mathématiques, Optimisation et contrôle, Mathématiques, Mathématiques pures, Statistiques, Domaine non défini, Mathématiques, Mathématiques appliquées, Mathématiques, Domaine non défini","['Moment problems', 'Positive Polynomials', 'Computational geometry', 'Probability', 'Statistics', 'Control', 'Non Linear PDEs']","[""Laboratoire d'analyse et d'architecture des systèmes"", 'Institut de Mathématiques de Toulouse UMR5219']"
